subID.calcFD	label1002	label1003	label1005	label1006	label1007	label1008	label1009	label1010	label1011	label1012	label1013	label1014	label1015	label1016	label1017	label1018	label1019	label1020	label1021	label1022	label1023	label1024	label1025	label1026	label1027	label1028	label1029	label1030	label1031	label1034	label1035	label2002	label2003	label2005	label2006	label2007	label2008	label2009	label2010	label2011	label2012	label2013	label2014	label2015	label2016	label2017	label2018	label2019	label2020	label2021	label2022	label2023	label2024	label2025	label2026	label2027	label2028	label2029	label2030	label2031	label2034	label2035	
Sub1001	1.9735	2.0928	1.9647	1.9486	2.1104	2.1885	2.1601	1.8854	2.1805	2.1004	2.1030	1.9802	2.1684	1.9445	1.9986	2.0599	1.9644	2.0393	1.8951	2.0720	1.9997	2.1152	2.1375	1.9575	2.1711	2.2186	2.0673	2.1974	2.1890	1.8303	2.0653	1.9019	2.1019	1.9785	1.9777	2.1327	2.1969	2.1834	1.9176	2.1824	2.0946	2.1165	1.9757	2.1633	1.9001	2.0143	2.0709	1.9784	2.0261	1.9300	2.0302	1.9631	2.1161	2.1228	1.8853	2.1470	2.2400	2.0940	2.2039	2.1740	1.7553	2.0929	0.0000	
Sub1002	1.9728	2.1344	1.9661	1.9563	2.1002	2.1927	2.1083	1.8827	2.0845	2.1311	2.0868	2.0320	2.1180	1.8381	2.0068	2.0654	1.9291	2.0719	1.8973	2.0810	1.9829	2.1353	2.1043	1.9449	2.1585	2.2211	2.0764	2.1621	2.1990	1.7970	2.0725	1.9542	2.1209	1.9709	1.9822	2.1047	2.1954	2.1186	1.8545	2.1403	2.1128	2.0851	2.0389	2.1503	1.9242	1.9784	2.0538	1.9820	2.0985	1.9555	2.0286	1.9729	2.1119	2.1135	1.9104	2.1422	2.2226	2.0691	2.1674	2.1930	1.7930	2.0856	0.0000	
Sub1003	1.9811	2.0912	1.9878	1.9171	2.1198	2.1670	2.0884	1.8857	2.1359	2.0986	2.1113	1.9874	2.1181	1.9478	2.0282	2.0485	1.9494	2.0423	1.9063	2.0612	2.0049	2.1172	2.0995	1.8926	2.1333	2.2200	2.0856	2.1497	2.1211	1.8494	2.0800	1.9419	2.1045	1.9732	1.8984	2.0983	2.1621	2.1186	1.8953	2.1582	2.0898	2.1187	2.0015	2.1147	1.9171	1.9710	2.0537	1.9458	2.0011	1.9719	2.0458	1.9504	2.1119	2.1038	1.9202	2.1105	2.2101	2.0703	2.1533	2.1387	1.7903	2.0806	0.0000	
Sub1004	1.9814	2.1078	1.9651	1.9386	2.1481	2.2074	2.1558	1.9339	2.1846	2.1146	2.0925	2.0380	2.1647	1.8639	1.9923	2.0402	1.9150	2.0337	1.8019	2.0512	1.9886	2.1145	2.1412	1.9816	2.1135	2.2079	2.0713	2.1686	2.1333	1.8244	2.0906	1.8970	2.0905	1.9498	1.9611	2.1194	2.2493	2.1851	1.9382	2.1599	2.0969	2.0893	2.0119	2.1863	1.8558	2.0226	2.0575	1.9571	2.0674	1.8438	2.0147	1.9891	2.1204	2.1392	1.9165	2.1178	2.2151	2.1123	2.2055	2.1436	1.7631	2.0945	0.0000	
Sub1005	2.0470	2.1490	2.0041	1.7674	2.0829	2.2134	2.1541	1.9469	2.1255	2.1155	2.0383	2.0226	2.1767	1.8596	2.0097	2.0033	1.9203	2.0563	1.8750	2.1183	1.9921	2.1233	2.1421	2.0106	2.1817	2.2593	2.1194	2.1744	2.1639	1.8443	2.0618	2.0056	2.1315	2.0124	1.9266	2.1269	2.2704	2.1723	1.9383	2.1657	2.1237	2.1042	2.0373	2.1868	1.8703	2.0160	2.0383	1.9449	2.0480	1.9771	2.1014	2.0054	2.1086	2.1635	1.9755	2.1735	2.2553	2.1302	2.1842	2.1868	1.7681	2.0750	0.0000	
Sub1006	1.9721	2.1146	2.0382	2.0062	2.1132	2.2055	2.1639	1.9036	2.1604	2.1118	2.1070	2.0584	2.1698	1.9781	2.0163	2.0911	1.9560	2.0476	1.9033	2.0786	1.9896	2.1369	2.1177	1.9845	2.1573	2.2408	2.1090	2.1947	2.1843	1.7805	2.1340	1.8526	2.1323	2.0030	2.0346	2.1164	2.2340	2.1520	1.9153	2.1915	2.1173	2.1232	2.0390	2.1917	1.9218	2.0301	2.0848	1.9909	2.0603	1.9856	2.0846	1.9990	2.1181	2.1102	1.8578	2.1626	2.2466	2.1142	2.1991	2.1780	1.7694	2.1262	0.0000	
Sub1007	1.9806	2.0933	1.9964	1.8786	2.0442	2.1802	2.0831	1.8943	2.1620	2.0778	2.0779	1.9769	2.1022	1.8723	1.9707	2.0350	1.9471	2.0162	1.9012	2.0547	1.9488	2.1230	2.1102	1.9559	2.1174	2.2076	2.0872	2.1095	2.1705	1.7508	2.0481	1.9279	2.1151	1.9740	1.9123	2.0771	2.2048	2.1295	1.9267	2.1779	2.0973	2.0967	2.0148	2.1466	1.8411	1.9808	2.0590	1.9022	2.0106	1.8749	2.0529	1.9702	2.1260	2.1270	1.8901	2.1272	2.2122	2.0615	2.1468	2.1719	1.7442	2.0615	0.0000	
Sub1008	2.0178	2.1589	2.0562	1.8584	2.0856	2.1841	2.1415	1.9557	2.1512	2.0935	2.1031	2.0088	2.1478	1.8872	2.0566	2.1072	1.9681	2.0606	1.9424	2.1032	2.0025	2.1034	2.1520	1.9692	2.1551	2.2225	2.1267	2.1454	2.1404	1.8377	2.0788	1.9770	2.1151	2.0085	1.8907	2.1224	2.2094	2.1764	1.8234	2.1765	2.1061	2.0983	2.0229	2.1690	1.8983	2.0265	2.0614	1.9881	2.0645	1.9581	2.0723	1.8974	2.1064	2.1527	1.9401	2.1728	2.2236	2.1386	2.2024	2.2033	1.7381	2.1101	0.0000	
Sub1009	1.9809	2.1242	1.9923	1.9398	2.0739	2.2019	2.1522	1.9612	2.1315	2.0939	2.0714	2.0140	2.1307	1.9207	2.0211	2.0551	1.9101	1.9927	1.8722	2.0804	1.9831	2.1156	2.1193	2.0000	2.1648	2.2101	2.0664	2.1684	2.1438	1.7996	2.0987	1.9671	2.1032	1.9656	1.9613	2.0819	2.2170	2.1590	1.9475	2.1388	2.0912	2.0492	2.0072	2.1660	1.9033	2.0241	2.0679	1.9040	2.0134	1.8834	2.0507	1.9770	2.1099	2.1238	1.9398	2.1239	2.2086	2.0983	2.1639	2.1493	1.7343	2.0932	0.0000	
Sub1010	1.9971	2.1040	1.9680	1.8769	2.1104	2.1845	2.1095	1.8978	2.1403	2.0763	2.0733	2.0246	2.1416	1.8497	2.0048	2.0686	1.8989	2.0341	1.8915	2.1118	1.9785	2.1302	2.0668	1.9703	2.1611	2.2176	2.0365	2.1917	2.1343	1.8028	2.0903	1.9193	2.0939	1.9835	1.8615	2.1276	2.2126	2.1567	1.9248	2.1658	2.1026	2.1006	2.0022	2.1668	1.8662	2.0005	2.0859	1.9988	2.0886	1.9242	2.0984	1.9915	2.1153	2.0892	1.8846	2.1355	2.2214	2.0622	2.1824	2.1648	1.7403	2.0758	0.0000	
Sub1011	2.0007	2.1133	2.0123	1.6177	2.1098	2.1956	2.0075	1.9047	2.1484	2.0972	2.0734	2.0074	2.1246	1.7282	1.9688	2.0945	1.9615	2.0365	1.9802	2.0909	2.0218	2.1517	2.1189	1.9714	2.1525	2.2107	2.0990	2.1238	2.1270	1.8168	2.0932	1.9609	2.1107	1.9734	1.7981	2.0705	2.2345	2.1060	1.8902	2.1644	2.0910	2.0886	2.0373	2.1700	1.8706	2.0040	2.0405	1.9723	2.0417	1.9908	2.0929	2.0298	2.1310	2.1203	1.9232	2.1278	2.2224	2.0612	2.1578	2.1673	1.7327	2.0541	0.0000	
Sub1012	2.0050	2.1285	2.0351	1.9306	2.0903	2.1850	2.2205	1.9600	2.1683	2.1151	2.1053	2.0353	2.1614	1.9747	1.9877	2.0768	1.9620	2.0732	1.9314	2.0847	2.0063	2.1158	2.1216	1.9677	2.1588	2.2304	2.0877	2.1911	2.1443	1.8606	2.0891	2.0006	2.1075	1.9992	2.0016	2.0804	2.2018	2.2074	1.9436	2.1776	2.0920	2.1181	1.9865	2.1701	1.9548	1.9843	2.0623	1.9468	2.1023	1.9468	2.0752	2.0343	2.0775	2.1450	1.9505	2.1747	2.2337	2.0864	2.1946	2.1466	1.7490	2.1059	0.0000	
