subID.calcFD	label1	label2	label3	label4	label5	label6	label7	label8	label9	label10	label11	label12	label13	label14	label15	label16	label17	label18	label19	label20	label21	label22	label23	label24	label25	label26	label27	label28	label29	label30	label31	label32	label33	label34	label35	label36	label37	label38	label39	label40	label41	label42	label43	label44	label45	label46	label47	label48	label49	label50	label51	label52	label53	label54	label55	label56	label57	label58	label59	label60	label61	label62	label63	label64	label65	label66	label67	label68	label69	label70	label71	label72	label73	label74	label75	label76	label77	label78	label79	label80	label81	label82	label83	label84	label85	label86	label87	label88	label89	label90	label91	label92	label93	label94	label95	label96	label97	label98	label99	label100	label101	label102	label103	label104	label105	label106	label107	label108	label109	label110	label111	label112	label113	label114	label115	label116	label117	label118	label119	label120	label121	label122	label123	label124	label125	label126	label127	label128	label129	label130	label131	label132	label133	label134	label135	label136	label137	label138	label139	label140	label141	label142	label143	label144	label145	label146	label147	label148	
Sub1001	1.9135	2.0325	1.9127	2.0272	1.8888	2.0393	1.9700	1.9551	1.8226	1.6495	1.9163	2.0347	1.8069	1.9974	2.0551	2.1510	1.8437	1.9180	2.0287	1.8325	2.0290	2.0406	1.9910	1.9950	2.0372	2.0823	1.9891	1.9042	2.0004	2.0362	1.8238	1.7611	1.8011	2.0288	1.8744	1.9470	2.0806	2.0605	1.6438	1.5517	1.8662	1.9717	2.1700	1.9268	1.9080	1.8489	1.7370	1.8807	1.8563	1.8479	1.6852	1.9079	1.9180	1.9729	1.7563	1.9746	1.8011	1.8154	1.7787	1.8600	1.9231	1.6297	1.6521	2.0017	1.9762	1.4844	1.9942	1.8841	1.9044	1.6649	1.8662	1.7876	2.0784	1.6458	1.8745	2.0199	1.9237	1.9942	1.9851	2.0670	1.9654	1.9706	1.8068	1.7307	1.9712	1.9949	1.7695	1.9416	2.0507	2.1399	1.9082	1.9507	2.0279	1.8353	2.0400	2.0572	1.9631	2.0279	2.0302	2.0565	1.9650	1.8463	2.0083	1.9920	1.8293	1.6588	1.7235	2.0549	1.7934	1.8962	2.0770	2.0801	1.6344	1.6142	1.8611	2.0571	2.2017	1.9185	1.8790	1.8836	1.6984	1.8643	1.8963	1.8386	1.6372	1.8722	1.9457	1.9733	1.6706	1.9743	1.7910	1.8321	1.8604	1.9056	1.9122	1.6216	1.7018	1.9816	1.9919	1.4966	1.9065	1.9330	1.8963	1.5210	1.9023	1.7186	2.0823	1.5478	
Sub1002	1.9360	1.9046	1.9384	1.9999	1.9079	2.0555	1.9025	1.9706	1.8578	1.6410	1.9109	1.9873	1.7467	1.9885	2.0697	2.1559	1.8077	1.9460	1.9574	1.8403	2.0229	2.0307	1.9339	2.0222	2.0841	2.0672	2.0280	1.9291	2.0199	2.0350	1.9097	1.8426	1.7221	1.9738	1.8771	1.9373	1.9978	2.0343	1.6680	1.6496	1.9011	1.9077	2.1615	1.9119	1.9286	1.8743	1.7817	1.8365	1.8782	1.9081	1.5604	1.9471	1.8116	1.9844	1.6631	1.9100	1.7325	1.8906	1.8211	1.7952	1.9175	1.6004	1.7081	2.0179	1.9734	1.4313	1.9786	1.9489	1.8924	1.7019	1.8476	1.7431	2.0570	1.5583	1.8296	1.8239	1.8876	2.0027	1.9511	2.0463	1.9727	1.9780	1.7829	1.6789	1.9488	1.9860	1.8303	1.9627	2.0333	2.1117	1.8216	1.9255	2.0202	1.9108	2.0377	2.0417	1.9883	2.0645	2.0749	2.0687	1.9700	1.8183	1.9784	2.0214	1.8472	1.7775	1.7697	1.9836	1.8603	1.8576	2.0197	2.0882	1.6705	1.6482	1.9275	2.0455	2.1374	1.9096	1.8694	1.8770	1.8010	1.9161	1.8527	1.8791	1.6339	1.9936	1.9331	1.9965	1.6114	1.9686	1.7150	1.8774	1.7198	1.8219	1.9309	1.7231	1.7751	1.9515	1.9584	1.6104	1.8797	1.9722	1.9088	1.5533	1.9013	1.6914	2.0690	1.5995	
Sub1003	1.9240	1.9494	1.9857	1.9690	1.8724	2.0168	1.9502	1.9806	1.8448	1.6537	1.9261	1.9585	1.7836	1.9553	2.0515	2.1553	1.8266	1.9300	2.0004	1.9003	2.0730	2.0619	1.9794	2.0132	2.0136	2.0446	1.9905	1.9091	1.9890	2.0182	1.8491	1.6952	1.8277	1.9898	1.8025	1.8340	1.9794	2.0120	1.6003	1.6440	1.8483	1.8834	2.1388	1.9301	1.9163	1.8695	1.7184	1.8767	1.8947	1.8621	1.6487	1.9289	1.8497	1.9852	1.6148	1.9480	1.7679	1.9073	1.7944	1.8231	1.9528	1.6195	1.6501	1.9722	1.9953	1.4797	1.9385	1.9644	1.8836	1.7162	1.8102	1.7523	2.0213	1.6273	1.8695	1.9791	1.9195	1.9645	1.9802	2.0543	1.9619	1.9406	1.7903	1.7419	1.9400	1.9733	1.7599	1.8777	2.0329	2.1085	1.8146	1.8809	2.0009	1.9087	1.9792	2.0600	1.9362	2.0034	1.9693	2.0505	1.9845	1.8846	2.0039	1.9943	1.7898	1.7319	1.7871	1.9912	1.7866	1.7442	1.9704	2.0304	1.6126	1.4812	1.9089	2.0806	2.1572	1.9259	1.9184	1.8587	1.7275	1.8452	1.8617	1.8617	1.7107	1.9019	1.9505	1.9419	1.5787	1.9647	1.7269	1.8464	1.7179	1.7575	1.8916	1.6804	1.6926	1.9642	1.9431	1.5613	1.9074	1.9985	1.8572	1.4597	1.8522	1.7103	2.0138	1.5872	
Sub1004	1.9031	2.0003	1.9769	1.9960	1.8493	2.0476	1.9376	1.9416	1.9065	1.6807	1.9378	1.9858	1.7785	1.9201	2.0331	2.1310	1.8393	1.9656	2.0539	1.9204	2.0616	2.0258	1.9384	1.9809	2.0061	2.0487	2.0107	1.8717	2.0022	2.1065	1.8817	1.8058	1.7704	1.9813	1.8791	1.8078	2.0692	2.0799	1.5817	1.6431	1.8270	1.9922	2.1481	1.8426	1.8934	1.8600	1.7926	1.8509	1.8646	1.8573	1.7288	1.8965	1.8912	1.9800	1.5661	1.9814	1.8264	1.9208	1.8225	1.8877	1.9552	1.6112	1.7282	1.9867	1.9226	1.4884	1.9398	1.9209	1.8913	1.7629	1.8686	1.7109	2.0924	1.6449	1.8184	1.9806	1.9540	1.9753	1.9224	2.0778	1.9921	1.9775	1.8904	1.6999	1.9286	1.9783	1.7556	1.9469	2.0183	2.1319	1.8321	1.9137	2.0168	1.9906	2.0216	2.0517	1.9566	2.0006	2.1101	1.9866	1.9926	1.8278	2.0130	2.0343	1.8676	1.7244	1.7272	2.0368	1.7795	1.8541	2.0750	2.1128	1.6576	1.4844	1.9175	2.0468	2.1714	1.8649	1.8923	1.9211	1.7954	1.8758	1.8733	1.8813	1.6258	1.9044	1.9267	1.9624	1.6823	2.0230	1.6822	1.9279	1.7147	1.8435	1.8810	1.7327	1.7092	1.9768	1.9889	1.5704	1.8703	1.9617	1.8736	1.6132	1.9186	1.7766	2.0906	1.5528	
Sub1005	1.9711	1.9600	1.9589	2.0263	1.9468	2.0578	1.9469	1.9892	1.8670	1.6974	1.9400	1.9608	1.7972	1.9714	2.1248	2.1746	1.8121	1.9155	2.0062	1.9180	1.9988	2.0031	1.8478	2.0143	2.0623	2.0806	2.0735	1.9540	1.9962	2.0649	1.9380	1.7433	1.8087	2.0273	1.7874	1.8738	2.0629	2.0542	1.5962	1.5192	1.8428	1.9049	2.1381	1.8961	1.9572	1.8941	1.7311	1.8974	1.8795	1.8606	1.6763	1.9475	1.9437	2.0419	1.6115	2.0329	1.7231	1.9238	1.8516	1.8770	1.8996	1.6262	1.7251	1.9831	1.9846	1.6191	2.0028	1.9257	1.8683	1.6523	1.8786	1.8140	2.1162	1.6361	1.9508	1.9697	1.9639	1.9971	1.9813	2.0806	2.0373	1.9990	1.8663	1.7628	1.9788	1.9407	1.7689	1.9609	2.1106	2.1726	1.8744	1.8886	2.0150	1.9499	2.0169	2.0506	1.9113	2.0388	2.1329	2.1006	2.0737	1.9551	1.9925	2.0648	1.8466	1.8139	1.7316	2.0230	1.8246	1.8440	2.0947	2.1010	1.6705	1.5752	1.9020	2.0503	2.1632	1.9465	1.9231	1.9512	1.7689	1.8381	1.8869	1.8632	1.6538	1.8790	1.9392	1.9853	1.7708	2.0208	1.7871	1.8861	1.9050	1.9030	1.9015	1.7012	1.7054	1.9584	2.0318	1.6818	1.9647	1.9221	1.9370	1.5675	1.8879	1.7929	2.1150	1.6583	
Sub1006	1.9691	2.0128	1.9678	2.0365	1.9553	2.0349	1.9009	1.9740	1.8551	1.6691	1.9449	2.0207	1.8219	1.9471	2.0705	2.1541	1.9118	1.9924	1.9557	1.9171	2.0437	2.0372	2.0310	1.9909	2.0752	2.1082	2.0376	1.9076	2.0082	2.0324	1.9451	1.6779	1.6807	2.0166	1.8280	1.8742	2.0811	2.0720	1.6091	1.6888	1.8364	2.0003	2.1972	1.9094	1.9179	1.9317	1.8069	1.8732	1.8820	1.9059	1.6676	1.9138	1.8805	2.0260	1.5809	1.9799	1.8594	1.8289	1.7650	1.8037	1.9797	1.5987	1.6855	1.9884	2.0235	1.5623	1.9839	1.9181	1.9315	1.7810	1.8121	1.8064	2.0804	1.7394	1.8739	2.0082	1.9668	2.0160	1.9602	2.0607	1.9564	1.9847	1.8612	1.7564	1.9703	2.0363	1.7888	1.9838	2.0669	2.1358	1.9294	1.8931	2.0558	1.9384	2.0561	2.0688	2.0290	2.0245	2.0609	2.0439	2.0132	1.9321	2.0057	2.0189	1.9059	1.7060	1.7010	2.0229	1.7919	1.8336	2.0658	2.0970	1.7080	1.5246	1.9307	2.1107	2.1978	1.9740	1.9234	1.9188	1.8697	1.8696	1.9454	1.9307	1.6279	1.9344	2.0277	1.9610	1.5165	2.0106	1.8336	1.8458	1.8854	1.8656	1.9089	1.6336	1.7147	1.9849	2.0133	1.5791	1.9715	1.9285	1.8931	1.5809	1.8654	1.8191	2.1054	1.6602	
Sub1007	1.9284	1.9926	1.9383	1.9475	1.8221	2.0313	1.9366	1.9445	1.8471	1.6418	1.9398	1.9837	1.7657	1.8733	2.0099	2.1250	1.8100	1.8805	2.0125	1.8993	1.9509	2.0179	1.8911	1.9441	2.0215	2.1058	1.9964	1.9003	2.0164	2.0556	1.8899	1.6665	1.7081	1.9103	1.6862	1.8196	1.9749	1.9969	1.6155	1.5584	1.8372	2.0066	2.0682	1.9169	1.9383	1.7884	1.7554	1.8201	1.8464	1.7895	1.5988	1.9050	1.8906	1.9946	1.6164	1.9441	1.7229	1.8555	1.7721	1.7293	1.9534	1.5675	1.6168	1.9928	1.9556	1.4861	1.9259	1.9608	1.8572	1.7336	1.8021	1.7042	2.0172	1.5182	1.8788	1.9628	1.9370	1.9637	1.9228	2.0440	1.9615	1.9518	1.8201	1.7485	1.9497	1.9791	1.6565	1.8704	2.0637	2.1085	1.8627	1.8957	1.9852	1.9393	1.9987	2.0593	1.9094	1.9805	2.0501	2.0812	1.9638	1.8604	1.9981	1.9996	1.8188	1.6509	1.7151	1.9599	1.7541	1.8556	2.0350	2.0629	1.6021	1.5951	1.8857	2.1014	2.1375	1.8996	1.9477	1.8643	1.7730	1.7950	1.8861	1.8502	1.5977	1.9421	1.8902	1.9987	1.6489	1.9633	1.8186	1.8252	1.7860	1.8567	1.8491	1.6457	1.6739	1.9519	1.9834	1.5444	1.9359	1.9320	1.8916	1.4838	1.8332	1.6535	2.0536	1.5367	
Sub1008	1.9346	1.9861	2.0102	2.0254	1.9219	2.0407	1.9077	1.9870	1.8679	1.7372	1.9908	2.0383	1.8477	1.9990	2.0762	2.1773	1.8329	1.9510	2.0336	2.0326	2.0176	2.0183	1.9157	1.9889	1.9974	2.0741	2.0675	1.9825	2.0143	2.1026	1.9328	1.7350	1.8181	1.9822	1.8456	1.8110	2.0685	2.0526	1.7012	1.6748	1.8501	1.9936	2.1354	1.9637	1.8896	1.8879	1.8017	1.8690	1.8803	1.8630	1.6804	1.9822	1.9234	1.9972	1.5062	1.9431	1.8137	1.9287	1.7765	1.8686	1.9220	1.6220	1.7363	1.9568	2.0148	1.5802	1.9602	1.9778	1.8833	1.7202	1.8803	1.7950	2.0099	1.5556	1.9290	1.9933	1.9954	2.0446	1.9661	2.0706	1.9698	1.9567	1.6263	1.7661	1.9762	2.0257	1.8215	1.9500	2.0498	2.1376	1.8458	1.9113	1.9965	1.9861	2.0163	2.0461	1.9000	2.0420	2.0485	2.1252	2.0435	1.8805	1.9866	2.0559	1.9109	1.7457	1.6790	2.0406	1.8424	1.8941	2.0744	2.0748	1.7014	1.6727	1.9462	2.0852	2.1796	1.9615	1.9059	1.9376	1.8155	1.8989	1.8875	1.8415	1.6770	1.9263	1.9943	1.9731	1.6757	2.0437	1.7846	1.9065	1.7693	1.8760	1.9062	1.7406	1.7499	1.9277	2.0279	1.6006	1.9501	1.9486	1.8927	1.6763	1.8839	1.7313	2.0729	1.6556	
Sub1009	1.9473	1.9286	1.9487	1.9934	1.9081	2.0496	1.9843	1.9517	1.8840	1.6591	1.9365	1.9798	1.7292	1.8749	2.0550	2.1382	1.8712	1.9683	1.9923	1.8544	1.9700	2.0005	1.9781	1.9512	2.0471	2.0345	1.9870	1.9318	1.9956	2.0219	1.9255	1.7540	1.7267	1.9969	1.7351	1.8649	2.0754	2.0201	1.7148	1.5794	1.8246	1.9149	2.1496	1.8769	1.9334	1.9433	1.7942	1.8558	1.8949	1.8816	1.7014	1.9346	1.9360	1.9941	1.6324	1.9302	1.8086	1.8159	1.8035	1.8683	1.8961	1.6875	1.7214	2.0079	1.9204	1.4799	1.9704	1.9305	1.8954	1.7730	1.9003	1.7368	2.0986	1.5688	1.8380	1.9795	1.9010	1.9720	1.9465	2.0852	2.0006	1.9717	1.8209	1.7045	1.9342	2.0096	1.6972	1.8858	2.0510	2.1262	1.8686	1.8953	1.9856	1.9063	1.9577	2.0048	1.9754	1.9918	2.0788	2.0615	1.9856	1.8908	2.0055	2.0006	1.8673	1.7816	1.6838	1.9882	1.7285	1.7847	2.0642	2.0809	1.6776	1.4807	1.9075	1.9923	2.1452	1.8609	1.9231	1.9623	1.8208	1.8455	1.8983	1.8862	1.5908	1.8870	1.9380	1.9551	1.6390	1.9647	1.8109	1.7657	1.8081	1.9069	1.8911	1.6425	1.7397	1.9318	1.9626	1.5543	1.9769	1.9316	1.8561	1.6007	1.9481	1.7863	2.1023	1.5543	
Sub1010	1.9252	1.9609	1.9590	2.0225	1.9003	2.0043	1.9656	1.9644	1.8411	1.6889	1.9042	2.0345	1.7426	1.9479	2.0292	2.1376	1.8684	1.9293	1.9972	1.9041	2.0272	1.9956	1.8986	1.9624	2.0002	2.0487	1.9602	1.9577	1.9987	1.9885	1.9092	1.7234	1.7873	2.0198	1.8646	1.8557	2.0097	2.0452	1.5564	1.6490	1.8274	1.9488	2.1483	1.9047	1.9435	1.8229	1.7260	1.8575	1.8935	1.8569	1.6827	1.9092	1.9446	1.9904	1.5194	1.9054	1.7542	1.8924	1.7346	1.8514	1.8813	1.6337	1.7122	1.9917	1.9508	1.5361	1.9790	1.9044	1.8890	1.6381	1.7755	1.7168	2.0914	1.6243	1.9164	1.9149	1.9600	2.0187	1.9296	2.0638	1.9796	1.9640	1.7944	1.7367	1.9584	2.0241	1.8083	1.9820	2.0231	2.1226	1.8418	1.8939	2.0241	1.9236	2.0603	2.0208	1.8907	2.0449	2.0458	2.0584	1.9526	1.9549	1.9952	1.9389	1.8065	1.7055	1.6932	2.0181	1.7914	1.8457	2.0561	2.0721	1.6404	1.4773	1.9226	2.0702	2.1537	1.9212	1.9225	1.9040	1.7445	1.8121	1.8904	1.8577	1.5405	1.9859	1.8746	1.9313	1.6883	1.9839	1.7112	1.8842	1.8301	1.8745	1.8704	1.7090	1.7067	1.9410	2.0073	1.5611	1.9634	1.9350	1.8555	1.4387	1.9520	1.7415	2.0985	1.5931	
