subID.calcFD	thalamus	caudate	putamen	pallidum	hippocampus	amygdala	accumbens	
Sub1001	2.3335	2.0720	2.1234	2.0116	2.0681	2.0070	1.6928	
Sub1002	2.3127	2.0462	2.1283	1.9922	2.0547	1.9798	1.7879	
Sub1003	2.2895	2.0375	2.1136	1.9933	2.0144	1.8494	1.7056	
Sub1004	2.2462	1.9830	2.1329	1.9856	2.0653	1.9778	1.7464	
Sub1005	2.3127	2.0652	2.1652	2.0520	2.0431	1.9226	1.7259	
Sub1006	2.3185	2.0649	2.1918	2.0370	2.0536	1.9937	1.7591	
Sub1007	2.3106	2.0494	2.1384	1.9945	2.0390	1.9182	1.6961	
Sub1008	2.2751	2.0057	2.1322	2.0686	2.0453	1.9438	1.6941	
Sub1009	2.3154	2.0278	2.1423	2.0511	2.0379	2.0177	1.6809	
Sub1010	2.3029	2.0677	2.1354	2.0072	2.0321	1.9492	1.6955	
Sub1011	2.3001	2.0581	2.1321	2.0360	2.0198	1.9294	1.7456	
Sub1012	2.2823	2.0790	2.1580	2.0341	2.0976	1.9437	1.7357	
Sub1013	2.2966	2.0448	2.1735	2.0429	2.0933	1.9921	1.7670	
Sub1014	2.2924	2.0396	2.1229	2.0117	2.0121	1.8106	1.6832	
Sub1015	2.2538	2.0277	2.1216	2.0415	2.0314	1.9402	1.7269	
Sub1016	2.2502	1.9635	2.1192	2.0117	2.0287	1.8670	1.6106	
Sub1017	2.3212	1.9905	2.1430	2.0026	2.0784	1.9739	1.7805	
Sub1018	2.2444	1.9258	2.0744	2.0112	1.9791	1.8124	1.6290	
Sub1019	2.3073	2.0153	2.1349	1.9987	2.0087	1.9360	1.7162	
Sub1020	2.2618	2.0023	2.1178	1.9715	2.0954	1.9546	1.7339	
Sub1021	2.3164	2.0140	2.1397	2.0242	2.0675	1.9849	1.7470	
Sub1022	2.2636	2.0239	2.0616	1.9575	1.9233	1.7724	1.5754	
Sub1023	2.2975	2.0585	2.1380	2.0259	2.0426	1.9759	1.7279	
Sub1024	2.3043	2.0316	2.1457	2.0212	2.0564	1.9309	1.7738	
Sub1025	2.2993	2.0332	2.1306	2.0292	2.0469	1.9618	1.7740	
Sub1026	2.2979	2.0472	2.1110	1.9954	2.0527	1.9342	1.6786	
Sub1027	2.2924	2.0575	2.1104	1.9983	2.0495	1.9439	1.6933	
Sub1028	2.2700	2.0549	2.1030	1.9573	1.9728	1.9234	1.6360	
Sub1029	2.2482	1.9706	2.0864	2.0253	2.0026	1.8764	1.5881	
Sub1030	2.3180	2.0420	2.1610	2.0550	2.0354	1.9543	1.7125	
Sub1031	2.2693	1.9801	2.1004	2.0057	2.0043	1.8591	1.6991	
Sub1032	2.2995	2.0115	2.1464	2.0436	2.0376	1.9865	1.7533	
Sub1033	2.3059	2.0275	2.1562	2.0449	2.0394	1.9403	1.7904	
Sub1034	2.2620	2.0344	2.1599	2.0400	1.9988	1.9012	1.7392	
Sub1035	2.2959	1.9787	2.1131	1.9934	2.0304	1.9556	1.7191	
Sub1036	2.3776	2.0883	2.1431	2.0633	2.1015	2.0440	1.8476	
Sub1037	2.2855	2.0138	2.1215	2.0174	2.0674	1.9673	1.7081	
Sub1038	2.2677	1.9917	2.1133	1.9827	2.0597	1.9354	1.6652	
Sub1039	2.2990	2.0241	2.1278	2.0206	2.0838	1.9872	1.7520	
Sub1040	2.2970	2.0533	2.1670	2.0880	2.0884	1.9976	1.7950	
Sub1041	2.2809	2.0217	2.1283	1.9979	1.9807	1.8112	1.6982	
Sub1042	2.2865	2.0149	2.1041	1.9527	2.0155	1.9094	1.6998	
Sub1043	2.2948	2.0594	2.1414	1.9914	2.0323	1.8790	1.7784	
Sub1044	2.3270	1.9870	2.1315	2.0268	2.0820	2.0165	1.8245	
Sub1045	2.2882	2.1108	2.1735	2.0177	2.0432	1.9582	1.7463	
Sub1046	2.3018	2.0389	2.1347	1.9947	2.0738	1.9933	1.7584	
Sub1047	2.2713	2.0373	2.1190	1.9671	2.0310	1.8931	1.6069	
Sub1048	2.3377	2.0497	2.1071	2.0531	2.0757	2.0079	1.7319	
Sub1049	2.2931	2.0304	2.1583	2.0371	2.0444	1.9416	1.6798	
Sub1050	2.3338	2.0099	2.1053	1.9754	2.0657	1.9847	1.8068	
Sub1051	2.2801	2.0182	2.0982	1.9810	2.0117	1.8758	1.7220	
Sub1052	2.2898	1.9930	2.0907	2.0162	2.0042	1.9486	1.6636	
Sub1053	2.2910	2.0157	2.1531	2.0030	2.0499	1.9583	1.7406	
Sub1054	2.2508	1.9669	2.0823	1.9254	2.0725	1.9504	1.6925	
Sub1055	2.3355	2.0695	2.1620	2.0601	2.0812	2.0003	1.8461	
Sub1056	2.2660	2.0725	2.1853	2.0811	2.0621	2.0014	1.7845	
Sub1057	2.3437	2.1171	2.1720	2.0576	2.0982	2.0339	1.8752	
Sub1058	2.3343	2.0906	2.1313	2.0579	2.0645	1.9855	1.7947	
Sub1059	2.2985	2.0542	2.1239	2.0093	2.0611	1.9940	1.7911	
Sub1060	2.3105	2.0607	2.1389	2.0142	2.0447	1.9345	1.7766	
Sub1061	2.2803	1.9873	2.1543	2.0522	2.0426	1.9705	1.8101	
Sub1062	2.3355	2.1341	2.1572	1.9974	2.0195	1.9345	1.7666	
Sub1063	2.3251	2.0148	2.1246	2.0145	2.0685	1.9605	1.7575	
Sub1064	2.3161	2.0015	2.1510	2.0385	2.1078	2.0409	1.7707	
Sub1065	2.3255	2.0769	2.1568	2.0653	2.0627	1.9786	1.6980	
Sub1066	2.3162	2.0343	2.1496	1.9884	2.0741	2.0412	1.8318	
Sub1067	2.3108	2.0506	2.1390	1.9842	1.9834	1.8745	1.7085	
Sub1068	2.2752	2.0290	2.0928	2.0515	2.0296	1.8806	1.6491	
Sub1069	2.2687	1.9887	2.1211	2.0078	1.9925	1.8116	1.6565	
Sub1070	2.2955	2.0889	2.1546	2.0587	2.0501	1.9193	1.7152	
Sub1071	2.2584	1.9839	2.0836	1.9596	2.0134	1.9188	1.6123	
Sub1072	2.2920	2.0872	2.1878	2.0247	2.0727	1.9209	1.7275	
Sub1073	2.2874	2.0013	2.1512	2.0461	2.0339	1.9341	1.7452	
Sub1074	2.2766	1.9984	2.1376	2.0809	2.0342	1.9064	1.7418	
Sub1075	2.3453	2.0759	2.1353	1.9816	2.0289	1.9609	1.7998	
Sub1076	2.3329	2.0510	2.1544	1.9952	2.0870	1.9786	1.7396	
Sub1077	2.2738	2.0113	2.1261	2.0517	2.0176	1.9114	1.6628	
Sub1078	2.2815	2.0347	2.1417	2.0046	2.0738	1.9814	1.7322	
Sub1079	2.2617	1.9780	2.0961	2.0131	1.9645	1.8468	1.6162	
Sub1080	2.3070	2.0354	2.1269	2.0414	2.0902	1.9454	1.7100	
Sub1081	2.3253	2.0101	2.1365	2.0158	2.0591	1.9401	1.7472	
Sub1082	2.2923	1.9835	2.1199	1.9908	2.0520	1.9177	1.6807	
Sub1083	2.3244	2.0390	2.1048	2.0838	1.9933	1.8854	1.7696	
Sub1084	2.2844	2.0255	2.1497	2.0287	2.0575	1.9982	1.7891	
Sub1085	2.2800	2.0471	2.1489	2.0436	2.0006	1.9227	1.6795	
Sub1086	2.2852	2.0203	2.1406	1.9806	1.9915	1.8890	1.6799	
Sub1087	2.2976	2.0106	2.1243	2.0411	2.0798	1.9480	1.8168	
Sub1088	2.3075	2.0397	2.1209	2.0288	2.0619	1.9617	1.7958	
Sub1089	2.2988	2.0319	2.1145	1.9615	2.0744	1.9448	1.7644	
Sub1090	2.3277	2.0397	2.1333	2.0341	2.0756	1.9779	1.7883	
Sub1091	2.2812	2.0191	2.1155	1.9844	2.0205	1.8767	1.6523	
Sub1092	2.2811	2.0258	2.1115	1.9914	1.9882	1.8915	1.6121	
Sub1093	2.2768	2.0377	2.0909	1.9870	2.0466	1.9542	1.7799	
Sub1094	2.3244	2.0229	2.1379	1.9836	2.0739	1.9564	1.8208	
