subID.calcFD	label1	
Sub1001	2.4803	
Sub1002	2.4758	
Sub1003	2.4699	
Sub1004	2.4587	
Sub1005	2.4805	
Sub1006	2.4743	
Sub1007	2.4542	
Sub1008	2.4497	
Sub1009	2.4536	
Sub1010	2.4661	
Sub1011	2.4609	
Sub1012	2.4796	
Sub1013	2.4505	
Sub1014	2.4517	
Sub1015	2.4164	
Sub1016	2.4550	
Sub1017	2.4522	
Sub1018	2.4297	
Sub1019	2.4780	
Sub1020	2.4684	
Sub1021	2.4686	
Sub1022	2.4520	
Sub1023	2.4371	
Sub1024	2.4770	
Sub1025	2.4319	
Sub1026	2.4601	
Sub1027	2.4673	
Sub1028	2.4236	
Sub1029	2.3987	
Sub1030	2.4762	
Sub1031	2.4138	
Sub1032	2.4620	
Sub1033	2.4247	
Sub1034	2.4419	
Sub1035	2.4391	
Sub1036	2.4817	
Sub1037	2.4334	
Sub1038	2.4536	
Sub1039	2.4680	
Sub1040	2.4575	
Sub1041	2.4454	
Sub1042	2.4401	
Sub1043	2.4375	
Sub1044	2.4728	
Sub1045	2.4458	
Sub1046	2.4659	
Sub1047	2.4556	
Sub1048	2.4755	
Sub1049	2.4590	
Sub1050	2.4637	
Sub1051	2.4229	
Sub1052	2.4263	
Sub1053	2.4610	
Sub1054	2.4292	
Sub1055	2.4777	
Sub1056	2.4371	
Sub1057	2.4732	
Sub1058	2.4531	
Sub1059	2.4865	
Sub1060	2.4728	
Sub1061	2.4633	
Sub1062	2.4504	
Sub1063	2.4667	
Sub1064	2.4321	
Sub1065	2.4600	
Sub1066	2.4618	
Sub1067	2.4780	
Sub1068	2.4447	
Sub1069	2.4400	
Sub1070	2.4447	
Sub1071	2.4239	
Sub1072	2.4844	
Sub1073	2.4570	
Sub1074	2.4406	
Sub1075	2.5184	
Sub1076	2.5041	
Sub1077	2.4400	
Sub1078	2.4733	
Sub1079	2.4461	
Sub1080	2.4726	
Sub1081	2.4818	
Sub1082	2.4571	
Sub1083	2.4447	
Sub1084	2.4427	
Sub1085	2.4420	
Sub1086	2.4676	
Sub1087	2.4554	
Sub1088	2.4256	
Sub1089	2.4809	
Sub1090	2.4860	
Sub1091	2.4509	
Sub1092	2.4741	
Sub1093	2.4800	
Sub1094	2.4763	
Sub1095	2.4572	
Sub1096	2.4683	
Sub1097	2.4465	
Sub1098	2.4657	
Sub1099	2.4583	
Sub1100	2.4430	
Sub1101	2.4675	
Sub1102	2.4960	
Sub1103	2.4698	
Sub1104	2.4413	
Sub1105	2.4487	
Sub1106	2.4809	
Sub1107	2.4718	
Sub1108	2.4805	
Sub1109	2.4598	
Sub1110	2.4805	
Sub1111	2.4619	
Sub1112	2.4362	
Sub1113	2.4185	
Sub1114	2.4405	
Sub1115	2.4667	
Sub1116	2.4752	
Sub1117	2.4833	
Sub1118	2.4723	
Sub1119	2.5003	
Sub1120	2.4538	
Sub1121	2.4587	
Sub1122	2.4477	
Sub1123	2.4633	
Sub1124	2.4724	
Sub1125	2.4451	
Sub1126	2.4314	
Sub1127	2.4540	
Sub1128	2.4623	
Sub1129	2.4597	
Sub1130	2.4515	
Sub1131	2.4857	
Sub1132	2.4591	
Sub1133	2.4146	
Sub1134	2.4557	
Sub1135	2.4623	
Sub1136	2.4832	
Sub1137	2.4466	
Sub1138	2.4815	
Sub1139	2.4302	
Sub1140	2.4329	
Sub1141	2.4546	
Sub1142	2.4878	
Sub1143	2.4741	
Sub1144	2.4486	
Sub1145	2.4607	
Sub1146	2.4527	
Sub1147	2.4562	
Sub1148	2.4776	
Sub1149	2.4491	
Sub1150	2.4850	
Sub1151	2.4644	
Sub1152	2.3684	
