subID.calcFD	Frontal	Parietal	Temporal	Occipital	
Sub1001	2.3954	2.2797	2.3598	2.3500	
Sub1002	2.3954	2.2815	2.3396	2.3170	
Sub1003	2.3835	2.2739	2.3245	2.3481	
Sub1004	2.3744	2.2739	2.3411	2.3312	
Sub1005	2.3995	2.3187	2.3444	2.3319	
Sub1006	2.3972	2.2919	2.3507	2.3443	
Sub1007	2.3726	2.2834	2.2943	2.3304	
Sub1008	2.3772	2.2852	2.3269	2.3479	
Sub1009	2.3756	2.2856	2.3376	2.3137	
Sub1010	2.3919	2.2770	2.3304	2.3226	
Sub1011	2.3816	2.2849	2.3099	2.3447	
Sub1012	2.4003	2.2886	2.3609	2.3488	
Sub1013	2.3672	2.2797	2.3324	2.2984	
Sub1014	2.3788	2.2805	2.2947	2.3102	
Sub1015	2.3369	2.2233	2.3150	2.3071	
Sub1016	2.3809	2.2552	2.3320	2.3109	
Sub1017	2.3750	2.2575	2.3284	2.3123	
Sub1018	2.3572	2.2593	2.2891	2.3004	
Sub1019	2.4006	2.2853	2.3266	2.3593	
Sub1020	2.3873	2.2828	2.3552	2.3245	
Sub1021	2.3877	2.2677	2.3562	2.3301	
Sub1022	2.3674	2.2617	2.3061	2.3150	
Sub1023	2.3585	2.2695	2.3181	2.3177	
Sub1024	2.3901	2.2888	2.3434	2.3333	
Sub1025	2.3587	2.2335	2.3241	2.2975	
Sub1026	2.3780	2.2545	2.3371	2.3295	
Sub1027	2.3859	2.2590	2.3436	2.3363	
Sub1028	2.3568	2.2295	2.2885	2.2936	
Sub1029	2.3144	2.2185	2.2863	2.2480	
Sub1030	2.3949	2.2618	2.3451	2.3404	
Sub1031	2.3412	2.2229	2.2807	2.2824	
Sub1032	2.3847	2.2775	2.3398	2.3202	
Sub1033	2.3476	2.2335	2.3047	2.2981	
Sub1034	2.3674	2.2643	2.3083	2.3054	
Sub1035	2.3564	2.2325	2.3060	2.3240	
Sub1036	2.4073	2.2979	2.3588	2.3549	
Sub1037	2.3473	2.2598	2.3273	2.3121	
Sub1038	2.3769	2.2494	2.3442	2.3094	
Sub1039	2.3795	2.2831	2.3664	2.3478	
Sub1040	2.3827	2.2536	2.3503	2.3134	
Sub1041	2.3826	2.2454	2.2866	2.3182	
Sub1042	2.3752	2.2755	2.3114	2.2932	
Sub1043	2.3600	2.2553	2.3075	2.2908	
Sub1044	2.3886	2.2647	2.3487	2.3374	
Sub1045	2.3604	2.2722	2.3277	2.3067	
Sub1046	2.3809	2.2605	2.3410	2.3163	
Sub1047	2.3711	2.2796	2.3287	2.3125	
Sub1048	2.3947	2.2712	2.3400	2.3420	
Sub1049	2.3790	2.2853	2.3249	2.3127	
Sub1050	2.3872	2.2479	2.3259	2.3110	
Sub1051	2.3361	2.2320	2.2954	2.2984	
Sub1052	2.3577	2.2195	2.2959	2.2908	
Sub1053	2.3664	2.2722	2.3550	2.3302	
Sub1054	2.3519	2.2203	2.3144	2.3073	
Sub1055	2.3926	2.2842	2.3637	2.3626	
Sub1056	2.3724	2.2730	2.2979	2.3154	
Sub1057	2.4010	2.3031	2.3435	2.3387	
Sub1058	2.3583	2.2606	2.3418	2.3311	
Sub1059	2.3962	2.3124	2.3526	2.3603	
Sub1060	2.3923	2.2797	2.3378	2.3222	
Sub1061	2.3788	2.2970	2.3395	2.3361	
Sub1062	2.3676	2.2587	2.3120	2.3128	
Sub1063	2.3905	2.2699	2.3404	2.3326	
Sub1064	2.3650	2.2087	2.3116	2.3339	
Sub1065	2.3755	2.2808	2.3322	2.3174	
Sub1066	2.3783	2.2768	2.3519	2.3343	
